asset_id,asset_name,assets_status_id,model,organization_id,construstion_level,value_original,start_date_used,warranty_month,working_status,is_software,employee_id,employee_id_manager,assets_type_id,assets_group_id,assets_class_id,assets_brand_id,production_year,production_country_id
53,Rufus Lambshine,under maintenance,Mr,53,low,249100.87,2/9/2020,34,false,true,53,53,type3,group2,class1,brand1,2006,China
54,Jerrome Warner,inactive,Mrs,54,low,184754.47,5/16/2017,17,true,true,54,54,type2,group2,class3,brand1,2020,Uganda
55,Kelcy Fance,inactive,Mr,55,high,180227.47,12/8/2015,5,false,true,55,55,type1,group3,class3,brand1,2017,Kenya
56,Tobey Swaton,under maintenance,Mrs,56,low,466395.71,4/19/2020,10,true,true,56,56,type3,group3,class3,brand3,2021,Indonesia
57,Dana Seefus,under maintenance,Honorable,57,low,443049.43,10/16/2016,5,true,false,57,57,type2,group3,class2,brand2,2012,Portugal
58,Grace Cudde,active,Honorable,58,low,220893.46,10/6/2003,16,false,true,58,58,type2,group3,class3,brand3,2020,Philippines
59,Cortney Semor,under maintenance,Ms,59,high,838172.29,6/24/2012,29,true,false,59,59,type3,group2,class2,brand3,2021,Finland
60,Rozalie Gaiger,inactive,Ms,60,medium,944635.43,6/26/2000,14,false,false,60,60,type3,group3,class3,brand1,2003,Brazil
61,Jojo Hewkin,inactive,Honorable,61,medium,299165.89,1/11/2003,2,true,false,61,61,type1,group2,class1,brand2,2019,Thailand
62,Thom Lunk,inactive,Rev,62,high,603847.17,8/16/2017,19,false,true,62,62,type2,group1,class2,brand3,2022,Japan
63,Hildy Hissie,under maintenance,Mr,63,medium,828935.99,6/17/2006,26,true,false,63,63,type2,group1,class3,brand1,2000,China
64,Stearn Wandrich,inactive,Mrs,64,low,803688.22,7/15/2002,7,true,true,64,64,type1,group1,class1,brand1,2010,South Africa
65,Allan Carmen,active,Dr,65,low,208836.23,8/23/2015,16,true,true,65,65,type3,group2,class1,brand1,2015,Sweden
66,Gilberta Muirden,under maintenance,Rev,66,low,969365.55,2/9/2014,7,false,true,66,66,type1,group2,class1,brand3,2010,Poland
67,Nap Faulconer,inactive,Ms,67,low,202120.31,8/13/2009,30,true,false,67,67,type3,group3,class1,brand3,2022,China
68,Shaylynn Foltin,active,Ms,68,high,283545.11,3/16/2019,5,false,true,68,68,type1,group2,class3,brand2,2021,Ukraine
69,Cinda Repper,active,Ms,69,medium,741491.82,8/31/2017,20,false,false,69,69,type1,group2,class1,brand1,2016,China
70,Goldia Sarjeant,active,Dr,70,low,782208.04,6/12/2007,0,false,false,70,70,type1,group2,class1,brand3,2014,Brazil
71,Zonda Pates,active,Ms,71,low,982857.34,11/17/2022,31,false,true,71,71,type2,group3,class1,brand2,2002,Argentina
72,Bethina Awcock,under maintenance,Ms,72,high,696169.63,4/21/2016,34,false,true,72,72,type3,group2,class1,brand2,2017,South Korea
73,Lemmie Habden,active,Mr,73,low,10272.62,9/17/2016,6,false,true,73,73,type1,group3,class3,brand1,2006,Russia
74,Early Bartosch,active,Dr,74,medium,136733.6,6/4/2010,12,false,true,74,74,type2,group1,class1,brand1,2013,China
75,Kev Schmuhl,under maintenance,Ms,75,low,440573.57,10/21/2022,12,true,true,75,75,type3,group2,class2,brand1,2004,United States
76,Fifi Jope,inactive,Rev,76,low,724298.41,4/18/2004,12,true,false,76,76,type1,group3,class2,brand2,2001,Argentina
77,Eilis Suero,active,Ms,77,low,832447.7,4/7/2004,20,true,false,77,77,type1,group3,class1,brand3,2008,China
78,Randolf Wittrington,inactive,Mr,78,medium,34358.61,9/25/2007,0,true,true,78,78,type2,group2,class2,brand1,2019,China
79,Mahmud Chasmoor,active,Ms,79,medium,738265.84,4/19/2007,31,true,false,79,79,type2,group1,class3,brand3,2011,Russia
80,Arvie Reven,active,Rev,80,medium,53129.35,4/28/2019,10,true,false,80,80,type1,group3,class1,brand2,2003,China
81,Vito MacDowall,active,Honorable,81,medium,682160.69,6/27/2012,15,false,false,81,81,type1,group3,class3,brand2,2005,Vietnam
82,Codie Bras,inactive,Honorable,82,medium,476821.25,12/1/2000,27,true,true,82,82,type3,group1,class3,brand2,2011,United States
83,Eimile Besse,inactive,Mr,83,medium,664189.2,2/21/2017,36,false,false,83,83,type1,group1,class3,brand3,2013,Democratic Republic of the Congo
84,Heida Witherden,inactive,Mr,84,low,810265.54,11/8/2003,33,false,true,84,84,type2,group2,class3,brand2,2010,China
85,Nelia Molnar,inactive,Rev,85,high,294992.53,1/2/2001,8,false,false,85,85,type1,group3,class2,brand2,2018,China
86,Vivie Guilfoyle,inactive,Mrs,86,medium,899726.63,12/19/2006,35,false,true,86,86,type3,group2,class3,brand3,2019,Vietnam
87,Astrid Sankey,active,Rev,87,high,951916.95,10/8/2018,13,false,false,87,87,type2,group2,class1,brand2,2009,China
88,Hilary Addlestone,active,Dr,88,medium,722910.58,9/17/2001,13,false,true,88,88,type1,group1,class3,brand3,2013,Philippines
89,Effie Mixworthy,inactive,Dr,89,high,84429.19,4/27/2012,32,false,true,89,89,type1,group3,class1,brand2,2006,Tanzania
90,James Antonat,inactive,Dr,90,low,188729.51,8/17/2013,8,true,true,90,90,type1,group3,class2,brand2,2001,United States
91,Jillana Nazareth,under maintenance,Mrs,91,high,944366.24,2/23/2012,33,true,true,91,91,type2,group3,class3,brand2,2022,Poland
92,Tobye Wilmore,under maintenance,Dr,92,high,640239.32,9/11/2008,15,true,true,92,92,type3,group2,class1,brand1,2008,South Africa
93,Tiena Goodlife,active,Dr,93,high,77453.34,5/15/2004,19,false,true,93,93,type3,group1,class3,brand3,2015,Sweden
94,Helaine Bendig,inactive,Rev,94,high,942499.63,1/9/2014,9,false,false,94,94,type3,group3,class2,brand2,2015,Poland
95,Molly Basten,under maintenance,Rev,95,medium,144815.62,1/12/2016,35,true,false,95,95,type1,group3,class2,brand3,2007,Ukraine
96,Ajay Cadwallader,under maintenance,Mrs,96,high,509765.33,4/13/2018,0,true,true,96,96,type1,group2,class2,brand3,2004,Turkmenistan
97,Myles Cromblehome,under maintenance,Ms,97,high,383977.26,10/14/2021,7,false,false,97,97,type1,group2,class1,brand1,2011,Philippines
98,Coleen Elderfield,active,Mrs,98,high,598110.61,9/6/2011,30,true,false,98,98,type3,group3,class1,brand3,2014,Portugal
99,Darda Shadfourth,inactive,Mr,99,low,422713.11,4/5/2001,31,true,false,99,99,type2,group2,class1,brand2,2009,Nicaragua
100,Pierson Batram,inactive,Dr,100,medium,42909.95,11/22/2005,11,true,false,100,100,type3,group1,class3,brand2,2011,China
101,Salomone Bravington,under maintenance,Honorable,101,low,629824.17,8/21/2005,1,true,false,101,101,type2,group2,class3,brand2,2015,Philippines
102,Ekaterina Johanchon,active,Rev,102,medium,955231.17,1/17/2001,1,true,false,102,102,type3,group3,class1,brand2,2014,Indonesia
103,Glynis Kahn,inactive,Mr,103,low,395558.63,3/4/2011,35,false,true,103,103,type1,group2,class2,brand3,2006,Brazil
104,Hamlin Dennerly,active,Dr,104,low,178051.37,5/17/2014,14,false,false,104,104,type3,group3,class1,brand2,2017,Ukraine
105,Grissel Shoreson,under maintenance,Rev,105,high,274613.64,2/23/2020,0,true,false,105,105,type3,group3,class3,brand2,2015,Russia
106,Chelsie Bortolutti,active,Ms,106,low,489783.59,2/24/2017,20,false,true,106,106,type2,group1,class1,brand1,2021,China
107,Eleonora Hoffman,inactive,Ms,107,low,514583.07,4/28/2020,7,true,true,107,107,type2,group3,class2,brand3,2015,Philippines
108,Allegra Wollen,under maintenance,Ms,108,low,34882.29,3/3/2013,24,false,true,108,108,type1,group3,class2,brand1,2012,China
109,Alex Gheorghescu,active,Honorable,109,medium,463783.6,4/16/2015,13,false,true,109,109,type2,group3,class2,brand3,2014,Tuvalu
110,Leo Jurisic,active,Ms,110,low,20214.15,1/25/2006,22,false,false,110,110,type2,group2,class1,brand3,2021,Angola
111,Eldon Mazzilli,active,Dr,111,medium,983932.19,8/12/2009,36,false,true,111,111,type3,group3,class2,brand1,2002,Uzbekistan
112,Portie Mawtus,active,Honorable,112,medium,435128.95,8/30/2001,9,false,true,112,112,type3,group2,class1,brand1,2007,Philippines
113,Jasmine Olivas,inactive,Rev,113,low,266177.05,1/29/2001,36,true,true,113,113,type3,group3,class3,brand3,2015,Colombia
114,Hayley Arnett,under maintenance,Dr,114,low,185455.68,12/5/2019,10,true,true,114,114,type2,group2,class2,brand1,2013,Indonesia
115,Howey Sunnex,under maintenance,Rev,115,high,272989.82,4/7/2015,36,true,false,115,115,type3,group2,class2,brand3,2007,Slovenia
116,Pen Clace,active,Ms,116,high,308677.5,9/12/2008,24,false,false,116,116,type3,group2,class2,brand1,2006,China
117,Romonda Foggo,inactive,Honorable,117,low,627391.18,11/24/2021,35,true,true,117,117,type1,group3,class1,brand3,2006,Indonesia
118,Kimmy Clemot,active,Mrs,118,low,847475.6,12/25/2017,8,false,true,118,118,type2,group2,class3,brand2,2001,China
119,Fraze Everiss,under maintenance,Honorable,119,low,979878.4,1/30/2013,24,false,false,119,119,type2,group2,class3,brand2,2014,Russia
120,Garrik Barrim,under maintenance,Ms,120,low,438346.77,12/18/2009,19,false,true,120,120,type2,group3,class1,brand2,2005,Sweden
121,Kiley Canby,active,Dr,121,low,470715.2,9/11/2021,4,false,true,121,121,type2,group1,class2,brand3,2006,China
122,Leroi Clemanceau,inactive,Mrs,122,low,784000.86,1/5/2013,12,false,true,122,122,type3,group3,class3,brand1,2015,Japan
123,Raddy Allworthy,active,Dr,123,medium,498973.25,1/27/2006,12,false,false,123,123,type3,group3,class3,brand3,2004,Philippines
124,Mady Iannello,active,Mr,124,low,118042.69,7/26/2004,22,false,true,124,124,type2,group1,class2,brand1,2014,Philippines
125,Maitilde Clohissy,under maintenance,Rev,125,low,104785.36,3/16/2003,24,false,true,125,125,type2,group2,class2,brand1,2015,United States
126,Cristionna Dunsmuir,under maintenance,Mr,126,low,767751.78,9/1/2007,13,false,true,126,126,type2,group3,class2,brand2,2010,China
127,Luke Kilban,under maintenance,Mr,127,high,711583.19,1/2/2012,7,false,true,127,127,type3,group3,class3,brand3,2016,China
128,Darby Ruppeli,active,Ms,128,high,196106.11,11/16/2014,15,true,false,128,128,type1,group2,class3,brand1,2014,China
129,Cindi McGregor,inactive,Mr,129,low,219992.43,5/2/2004,11,true,true,129,129,type2,group2,class3,brand2,2006,Canada
130,Pierette O'Dempsey,inactive,Mr,130,medium,996173.61,6/8/2016,10,false,true,130,130,type3,group2,class2,brand1,2012,France
131,Buffy Wrenn,active,Honorable,131,medium,651903.89,11/21/2018,24,true,false,131,131,type1,group3,class2,brand2,2022,Philippines
132,Kellia Coulton,under maintenance,Honorable,132,low,290855.72,10/25/2000,11,true,false,132,132,type2,group2,class2,brand3,2020,Venezuela
133,Dyann Tinston,under maintenance,Ms,133,medium,122674.93,12/15/2002,20,false,true,133,133,type1,group3,class3,brand3,2008,Canada
134,Wilden Moylane,active,Ms,134,medium,606119.2,9/21/2014,36,true,true,134,134,type3,group3,class3,brand2,2012,Colombia
135,Kamillah Rowbrey,under maintenance,Mrs,135,high,381303.57,9/5/2019,19,false,false,135,135,type3,group3,class3,brand1,2020,Ukraine
136,Gilligan Horlock,under maintenance,Ms,136,low,284657.42,5/28/2022,18,false,false,136,136,type3,group1,class3,brand3,2007,Israel
137,Brandise Brammar,inactive,Mrs,137,low,233334.76,2/21/2018,7,true,true,137,137,type1,group3,class2,brand1,2007,Somalia
138,Elnore Rikkard,under maintenance,Mr,138,medium,330685.4,11/30/2002,16,false,false,138,138,type2,group3,class1,brand1,2005,Dominican Republic
139,Ottilie Passie,inactive,Mrs,139,high,695942.02,11/6/2003,13,true,false,139,139,type3,group2,class3,brand1,2004,North Korea
140,Daisie Dullaghan,under maintenance,Ms,140,medium,893378.83,12/9/2008,27,true,false,140,140,type1,group1,class1,brand2,2018,China
141,Ozzy Mottinelli,inactive,Rev,141,high,503211.4,7/5/2003,26,false,true,141,141,type1,group3,class3,brand3,2015,Russia
142,Tucky Petts,active,Honorable,142,low,950806.76,7/5/2005,31,true,false,142,142,type3,group2,class2,brand2,2018,China
143,Batholomew Brocklesby,under maintenance,Dr,143,medium,39056.94,12/23/2000,5,true,true,143,143,type3,group3,class3,brand1,2007,Indonesia
144,Sergei Skep,under maintenance,Honorable,144,low,501439.12,1/2/2016,12,false,true,144,144,type3,group1,class2,brand3,2010,Indonesia
145,Ruthi Raymen,under maintenance,Rev,145,medium,88205.22,7/28/2022,24,false,true,145,145,type3,group3,class2,brand1,2001,Sweden
146,Agace Puzey,under maintenance,Rev,146,medium,393764.13,12/12/2017,35,true,false,146,146,type1,group3,class3,brand3,2006,Philippines
147,Harper Ianno,active,Mrs,147,high,737641.75,7/16/2015,33,true,false,147,147,type1,group1,class3,brand3,2008,France
148,Chantalle Salvin,under maintenance,Dr,148,low,390301.24,6/18/2017,33,false,false,148,148,type1,group2,class1,brand3,2017,Pakistan
149,Sherwynd Calterone,under maintenance,Rev,149,medium,22724.95,3/25/2011,20,false,true,149,149,type2,group1,class1,brand3,2018,Thailand
150,Mahala Moan,active,Mrs,150,high,672386.32,3/21/2021,8,false,true,150,150,type2,group2,class1,brand2,2005,China
151,Farrel Folkes,inactive,Rev,151,low,423454.65,12/4/2014,18,true,false,151,151,type2,group2,class1,brand3,2008,Brazil
152,Cullie Tumulty,inactive,Mrs,152,low,622424.0,3/3/2010,3,true,false,152,152,type1,group3,class1,brand2,2021,China
153,Arabele Broomhead,under maintenance,Rev,153,low,681440.91,4/4/2003,35,true,true,153,153,type3,group1,class3,brand1,2008,France
154,Gage Kettow,active,Ms,154,medium,104240.81,8/10/2006,0,false,true,154,154,type3,group3,class2,brand2,2002,Haiti
155,Pippo Ballham,active,Rev,155,high,745872.58,12/3/2007,29,true,true,155,155,type3,group2,class3,brand3,2015,Mexico
156,Hillard Benyon,under maintenance,Dr,156,medium,104787.69,8/28/2017,25,true,false,156,156,type1,group3,class3,brand3,2017,Sri Lanka
157,Leanora Ashpital,inactive,Honorable,157,medium,931510.26,5/1/2010,30,false,false,157,157,type1,group3,class2,brand1,2016,China
158,Peggie Davidge,inactive,Honorable,158,low,73800.3,1/18/2006,14,true,true,158,158,type3,group3,class3,brand1,2018,United States
159,Florry Knocker,active,Honorable,159,low,304187.31,7/3/2012,22,true,true,159,159,type1,group2,class3,brand1,2020,Russia
160,Kitti Idell,active,Ms,160,medium,1864.41,9/22/2004,5,true,true,160,160,type3,group3,class3,brand1,2002,Portugal
161,Gun Bassingham,inactive,Dr,161,medium,796160.03,8/6/2011,7,false,true,161,161,type2,group3,class1,brand3,2007,Bosnia and Herzegovina
162,Carmen Ryland,inactive,Mrs,162,medium,927417.11,3/14/2014,4,false,true,162,162,type2,group2,class3,brand3,2007,China
163,Doralin Porter,inactive,Dr,163,medium,324474.14,2/9/2021,33,true,true,163,163,type1,group1,class1,brand1,2013,Sweden
164,Kimberly Rosevear,under maintenance,Ms,164,low,4354.9,10/22/2016,5,false,true,164,164,type3,group2,class1,brand1,2011,China
165,Carole Tuppeny,under maintenance,Mrs,165,low,350265.25,6/12/2019,7,true,false,165,165,type1,group3,class2,brand3,2017,Canada
166,Daveta Rennison,inactive,Ms,166,high,263054.23,2/15/2012,20,false,false,166,166,type2,group3,class3,brand1,2010,Ireland
167,Patten Torra,active,Rev,167,medium,829924.91,8/6/2011,0,true,true,167,167,type2,group2,class1,brand2,2013,Russia
168,Kiri Dumphy,active,Dr,168,low,41641.59,9/30/2015,0,false,false,168,168,type2,group2,class3,brand3,2003,Argentina
169,Brook Schukert,inactive,Dr,169,high,246128.28,1/19/2011,2,false,true,169,169,type2,group3,class2,brand1,2013,Brazil
170,Matthew Felderer,under maintenance,Ms,170,high,676585.94,12/31/2016,18,true,false,170,170,type3,group3,class1,brand1,2007,Tanzania
171,Filide Blumson,active,Mrs,171,high,806618.4,8/18/2022,15,true,true,171,171,type1,group3,class1,brand3,2010,Philippines
172,Bendix Charer,active,Dr,172,low,420086.83,1/26/2020,18,false,false,172,172,type3,group2,class1,brand3,2016,Russia
173,Mary Stanaway,active,Dr,173,high,696131.86,10/27/2021,10,true,true,173,173,type3,group2,class3,brand2,2010,Indonesia
174,Raven Bowshire,active,Honorable,174,high,846071.32,11/27/2009,5,true,false,174,174,type3,group1,class3,brand2,2008,France
175,Odie Fink,inactive,Rev,175,high,438508.33,10/10/2021,7,true,false,175,175,type1,group2,class3,brand2,2019,Sweden
176,Vinson Vernazza,under maintenance,Mr,176,high,861874.16,6/20/2016,29,false,false,176,176,type3,group2,class3,brand1,2011,Ivory Coast
177,Mar Walkinshaw,inactive,Ms,177,high,977186.7,3/12/2009,13,true,false,177,177,type1,group1,class3,brand3,2018,Indonesia
178,Trudi Haile,inactive,Honorable,178,medium,722551.12,12/24/2004,10,true,true,178,178,type3,group3,class2,brand1,2022,Russia
179,Delores Geater,active,Honorable,179,medium,174002.34,3/12/2013,12,false,true,179,179,type2,group3,class2,brand2,2017,Ukraine
180,Sibbie Hellin,active,Ms,180,medium,874297.08,1/18/2020,26,false,true,180,180,type2,group2,class2,brand2,2008,Netherlands
181,Tome Mechic,under maintenance,Honorable,181,medium,702051.02,4/24/2009,3,true,false,181,181,type2,group1,class2,brand3,2015,Philippines
182,Rodi Athelstan,inactive,Mrs,182,medium,467724.64,8/29/2010,23,true,false,182,182,type1,group2,class2,brand2,2010,Thailand
183,Torey Pinar,under maintenance,Dr,183,low,232245.75,10/27/2014,25,true,false,183,183,type3,group3,class1,brand2,2006,Russia
184,Yorke Murdie,inactive,Mr,184,low,618142.34,4/8/2003,18,true,true,184,184,type2,group2,class1,brand1,2000,Russia
185,Harvey Benam,under maintenance,Dr,185,low,511016.28,7/9/2022,10,false,true,185,185,type3,group1,class3,brand3,2012,Russia
186,Auroora Redsall,inactive,Dr,186,high,498734.14,2/27/2010,31,true,true,186,186,type1,group1,class1,brand2,2010,Indonesia
187,Liza Chatan,inactive,Ms,187,low,575439.01,8/11/2014,32,false,true,187,187,type2,group3,class1,brand2,2011,Poland
188,Dyan Episcopi,active,Mrs,188,high,263253.92,3/27/2008,4,true,true,188,188,type2,group2,class1,brand1,2008,Canada
189,Tandie Yoslowitz,under maintenance,Honorable,189,medium,50979.26,1/11/2003,13,true,true,189,189,type3,group2,class1,brand1,2000,Mexico
190,Ardra Elrick,active,Mr,190,low,240093.38,9/6/2002,26,false,true,190,190,type2,group2,class3,brand1,2000,Finland
191,Rainer Castles,under maintenance,Mrs,191,low,306410.08,3/26/2004,9,true,false,191,191,type1,group3,class2,brand1,2015,Mexico
192,Phillida Fonte,inactive,Mrs,192,high,436802.36,5/4/2010,22,true,false,192,192,type1,group3,class2,brand2,2000,Serbia
193,Zebadiah Scotchford,under maintenance,Rev,193,medium,268167.15,12/30/2022,23,false,true,193,193,type3,group3,class1,brand1,2014,Azerbaijan
194,Daniella Itter,active,Rev,194,medium,266370.3,1/1/2009,27,false,false,194,194,type2,group3,class2,brand1,2017,Russia
195,Pattie Westwood,inactive,Rev,195,medium,427783.6,4/3/2007,3,true,false,195,195,type3,group2,class3,brand2,2005,Brazil
196,Richardo Pautot,active,Rev,196,medium,525848.39,12/9/2017,28,false,true,196,196,type3,group3,class2,brand1,2000,Colombia
197,Violante Brennon,inactive,Mrs,197,high,794623.79,6/1/2011,17,false,true,197,197,type2,group3,class2,brand2,2002,Uzbekistan
198,Julie Tortoise,under maintenance,Mr,198,low,926938.02,2/8/2016,9,false,false,198,198,type1,group1,class3,brand3,2017,Ukraine
199,Elsey Cawdron,inactive,Rev,199,high,209840.44,9/30/2018,20,true,false,199,199,type2,group1,class3,brand2,2003,France
200,Hewe Coveley,inactive,Rev,200,high,941712.27,9/8/2010,7,false,false,200,200,type2,group2,class3,brand1,2020,China
201,Kalinda Giddens,active,Dr,201,low,388784.74,1/28/2022,2,false,false,201,201,type3,group2,class2,brand2,2003,Marshall Islands
202,Auroora Puddifer,active,Dr,202,low,826023.04,1/10/2016,9,true,false,202,202,type1,group3,class1,brand3,2002,Indonesia
203,Jareb Silley,active,Ms,203,medium,214758.86,8/31/2002,24,false,true,203,203,type2,group2,class1,brand3,2006,Venezuela
204,Deeanne Minillo,inactive,Honorable,204,low,28716.71,11/5/2012,14,false,true,204,204,type2,group2,class1,brand2,2002,China
205,Leone Yakubovics,under maintenance,Dr,205,low,92705.84,8/8/2009,16,true,true,205,205,type2,group1,class2,brand2,2022,Palestinian Territory
206,Karole Lanceley,under maintenance,Rev,206,high,770919.63,1/20/2009,16,false,true,206,206,type2,group2,class1,brand3,2020,China
207,Thorvald Juris,under maintenance,Honorable,207,low,395637.52,12/24/2007,15,true,true,207,207,type2,group1,class1,brand3,2005,Belgium
