employee_id,first_name,last_name,gender,date_of_birth,job_title,department,salary,hire_date,email,processing_time
60,Orelie,Senten,Female,6/28/1992,Community Outreach Specialist,Marketing,112481.59,3/28/2023,osenten1n@taobao.com,2.47
61,Garth,Augie,Male,4/27/1976,Analog Circuit Design manager,IT,149504.71,4/24/2023,gaugie1o@so-net.ne.jp,10.65
62,Nana,Dedrick,Genderqueer,12/8/1960,Social Worker,Marketing,85170.8,12/7/2023,ndedrick1p@dagondesign.com,2.67
63,Janek,Molan,Male,11/27/1976,Administrative Officer,HR,85920.18,1/30/2000,jmolan1q@privacy.gov.au,13.66
64,Zia,Allitt,Non-binary,9/30/1987,VP Accounting,Marketing,53916.58,10/8/2007,zallitt1r@oakley.com,17.49
65,Aimee,Ben-Aharon,Female,11/27/1999,Civil Engineer,Marketing,110728.52,10/3/2018,abenaharon1s@icq.com,8.66
66,Merwin,Geraldez,Genderqueer,12/7/1963,Social Worker,Sales,134219.23,6/23/2014,mgeraldez1t@biglobe.ne.jp,5.81
67,Ambrose,Penrose,Male,3/9/1983,VP Product Management,Marketing,106034.8,2/5/2022,apenrose1u@squarespace.com,5.91
68,Giuseppe,Labusquiere,Male,9/4/1986,Assistant Media Planner,HR,42406.59,8/13/2007,glabusquiere1v@ning.com,11.83
69,Perkin,Hartless,Male,5/26/1963,Senior Financial Analyst,Sales,58011.12,11/14/2006,phartless1w@indiatimes.com,7.48
70,De,Tomala,Female,9/25/1998,Actuary,IT,131127.2,7/25/2005,dtomala1x@apache.org,13.09
71,Ingemar,Willavize,Male,4/24/1981,Community Outreach Specialist,Finance,88244.67,10/2/2025,iwillavize1y@parallels.com,17.82
72,Penrod,Bruneau,Male,10/3/1978,VP Quality Control,IT,132885.95,7/27/2018,pbruneau1z@addtoany.com,7.32
73,Rosene,Clibbery,Female,9/27/1951,Occupational Therapist,Sales,131850.29,11/25/2015,rclibbery20@amazon.co.uk,18.35
74,Francesco,Houtby,Male,11/12/1997,Programmer Analyst IV,IT,65020.9,11/14/2021,fhoutby21@unesco.org,3.06
75,Ad,Parnell,Male,8/2/1996,Structural Engineer,Marketing,147190.46,2/18/2001,aparnell22@bandcamp.com,11.05
76,Adam,Tatham,Male,2/14/1959,Senior Financial Analyst,Marketing,77647.21,1/13/2025,atatham23@slate.com,2.08
77,Deerdre,Hamly,Female,4/28/1982,Dental Hygienist,Finance,115904.51,10/23/2025,dhamly24@github.io,19.15
78,Madeleine,Gingles,Female,3/19/1977,Marketing Assistant,Sales,139913.46,12/23/2011,mgingles25@sbwire.com,22.31
79,Barri,Abramamov,Male,2/22/1987,Database Administrator II,Finance,88851.25,5/11/2008,babramamov26@nhs.uk,14.33
80,Lynda,Radki,Female,12/21/1978,VP Marketing,Finance,115951.66,4/18/2018,lradki27@live.com,1.2
81,Leda,Drioli,Female,3/8/1992,Electrical Engineer,HR,80969.65,10/18/2014,ldrioli28@wikispaces.com,1.96
82,Betti,Skeat,Female,10/9/1967,Analog Circuit Design manager,Sales,100818.74,8/20/2020,bskeat29@zimbio.com,2.05
83,Scarface,Thorley,Male,9/27/1970,Analyst Programmer,Sales,90613.04,2/21/2025,sthorley2a@mozilla.org,2.41
84,Ramsey,Brackenridge,Male,7/14/1989,Project Manager,Sales,70768.34,11/5/2005,rbrackenridge2b@walmart.com,15.56
85,Elfie,Schwand,Female,11/4/1996,Desktop Support Technician,HR,134914.73,3/26/2002,eschwand2c@redcross.org,8.89
86,Freida,Burnall,Female,2/1/1973,Office Assistant III,Sales,72102.41,6/8/2019,fburnall2d@qq.com,3.1
87,Shellysheldon,McAsgill,Male,10/20/1976,Nurse,Finance,144104.89,12/4/2022,smcasgill2e@webnode.com,10.09
88,Delores,Guerreau,Female,4/18/1968,Information Systems Manager,Marketing,57082.58,1/16/2001,dguerreau2f@weebly.com,4.54
89,Siobhan,Habden,Female,1/30/1990,Chief Design Engineer,IT,136178.02,12/22/2021,shabden2g@webeden.co.uk,4.13
90,Eliot,Redmell,Male,10/3/1986,Budget/Accounting Analyst II,Sales,108580.57,7/26/2006,eredmell2h@friendfeed.com,10.84
91,Ase,Burrett,Male,11/25/1994,Product Engineer,Sales,103180.75,12/7/2011,aburrett2i@gov.uk,14.32
92,Tadd,Spinige,Male,7/13/1997,VP Marketing,Sales,64610.18,9/16/2023,tspinige2j@bravesites.com,9.99
93,Vergil,Swash,Male,4/5/1981,VP Quality Control,HR,56503.7,2/27/2008,vswash2k@patch.com,20.55
94,Clarabelle,Molloy,Female,7/14/1951,Junior Executive,Marketing,71738.25,5/17/2025,cmolloy2l@shinystat.com,15.16
95,Drona,Jerosch,Female,1/6/1959,Developer IV,HR,105674.57,1/25/2011,djerosch2m@java.com,1.33
96,Abdel,De Bruyn,Male,10/8/1970,Teacher,Marketing,83737.96,9/10/2022,adebruyn2n@mayoclinic.com,11.85
97,Angeli,Tinham,Male,6/9/1977,Accounting Assistant II,Sales,68510.84,2/5/2003,atinham2o@samsung.com,0.43
98,Drucy,Tewkesbury,Female,3/5/1995,Staff Accountant IV,IT,109740.11,11/11/2009,dtewkesbury2p@desdev.cn,18.06
99,Jolene,Risbridge,Female,2/12/1961,Office Assistant III,Sales,101645.86,6/18/2006,jrisbridge2q@accuweather.com,0.79
100,Ravid,Readhead,Male,7/15/1998,Account Executive,Marketing,83709.06,10/14/2003,rreadhead2r@discovery.com,2.2
