purchase_date,purchase_price,quantity,total_price,payment_method,shipping_address,shipping_city,shipping_state,shipping_country,shipping_postal_code,product_category,employee_department,transaction_id,customer_id,product_id,employee_id
9/7/2003,831.53,218,3693.82,credit card,9129 Reindahl Pass,Otutara,,French Polynesia,,Accessories,Support,75,247,58,52
6/18/2018,848.16,300,2231.79,credit card,62137 Charing Cross Avenue,San Lorenzo,,Argentina,2200,Food - Bakery,Legal,76,973,89,99
7/3/2024,635.57,148,1321.23,debit card,3873 Heffernan Point,Silca,,Honduras,,Pets,Accounting,77,948,79,93
8/28/2005,462.08,653,8997.07,debit card,900 Hoffman Road,Hedong,,China,,Food - Spices,Research and Development,78,502,33,52
7/25/2011,592.87,381,9385.56,PayPal,360 Waxwing Avenue,Guanxi,,China,,Kitchen,Legal,79,546,20,45
2/3/2019,47.45,292,5719.73,cash,1782 Jackson Crossing,Padang,,Indonesia,,Toys,Research and Development,80,534,25,79
4/17/2002,114.79,167,7182.11,PayPal,53 Mcguire Avenue,Leuwidamar,,Indonesia,,Clothing - Footwear,Business Development,81,74,19,78
9/19/2004,153.85,160,1097.15,PayPal,5 Manley Trail,Žemaičių Naumiestis,,Lithuania,99005,Fitness,Legal,82,334,42,24
10/23/2025,297.55,753,1184.54,cash,4145 Esch Street,Tangban,,China,,Office,Product Management,83,977,22,83
3/11/2023,875.36,730,9884.33,credit card,250 Dakota Parkway,Komletinci,,Croatia,32253,Fitness,Marketing,84,229,14,42
2/16/2010,374.8,442,4105.11,credit card,83 Becker Road,La Virgen,MEX,Mexico,50695,Fitness,Training,85,899,7,87
1/26/2018,367.2,357,47.26,credit card,858 Redwing Trail,Daping,,China,,Clothing - Bottoms,Research and Development,86,280,50,49
7/2/2006,331.13,29,1973.31,cash,8 Commercial Drive,Miura,,Japan,894-2414,Food - Spices,Legal,87,613,11,25
6/12/2003,742.06,209,6130.82,credit card,6 Mcguire Drive,Sanjing,,China,,Food - Desserts,Sales,88,860,23,50
9/29/2001,752.12,655,4455.15,cash,23 Magdeline Court,Aleshtar,,Iran,,Outdoor,Accounting,89,832,39,72
7/10/2017,628.94,473,696.01,debit card,8720 South Way,Shifo,,China,,Home,Services,90,863,29,97
8/11/2021,856.92,27,3828.96,cash,96251 Westridge Avenue,Bov,,Bulgaria,2271,Home,Product Management,91,829,66,50
4/5/2018,192.38,284,7009.5,PayPal,73 Lillian Pass,Summerside,PE,Canada,C1N,Outdoor,Research and Development,92,93,49,74
3/19/2002,826.96,478,2973.7,cash,1 Cottonwood Hill,Nabunturan,,Philippines,8106,Fitness,Research and Development,93,290,1,12
4/5/2013,542.83,21,8440.42,cash,6102 Pepper Wood Lane,Cinyasag,,Indonesia,,Outdoor,Marketing,94,103,27,94
3/2/2011,296.65,779,8228.91,PayPal,37 Monterey Place,Emiliano Zapata,JAL,Mexico,48892,Outdoor,Accounting,95,201,92,36
5/29/2001,153.86,870,1615.0,PayPal,2635 Elka Park,Yenangyaung,,Myanmar,,Food - Bakery,Business Development,96,909,46,80
7/14/2012,630.69,873,147.46,credit card,6905 Banding Way,Espumoso,,Brazil,99400-000,Fitness,Support,97,251,20,92
8/6/2017,689.97,712,763.15,credit card,55243 Old Gate Street,Svitlovods’k,,Ukraine,,Food - Canned Goods,Legal,98,745,67,84
10/24/2010,193.74,63,9632.45,credit card,2499 Vahlen Lane,Letpandan,,Myanmar,,Toys,Human Resources,99,473,94,61
2/3/2012,465.24,122,9221.54,debit card,29589 6th Hill,Pereira,13,Portugal,4650-752,Food - Baking,Engineering,100,359,90,46
9/16/2003,546.11,367,9166.18,cash,25 Columbus Way,Sainte-Luce-sur-Loire,B5,France,44984 CEDEX,Food - Vegetarian,Training,101,34,1,71
11/19/2003,502.5,658,8752.6,credit card,8 Bobwhite Avenue,Del Campillo,,Argentina,6271,Food - Condiments,Marketing,102,572,79,49
1/11/2009,493.41,903,2742.41,debit card,637 Westend Trail,Ryczów,,Poland,34-115,Clothing - Bags,Legal,103,915,74,100
6/9/2000,103.62,828,4057.47,credit card,738 Prairieview Hill,Charras,,Argentina,5807,Pets,Accounting,104,139,76,95
7/7/2011,358.53,253,2491.65,cash,180 Ruskin Street,Mukayrās,,Yemen,,Home,Training,105,657,71,2
6/24/2017,483.27,838,8661.62,credit card,1989 West Parkway,Jiudian,,China,,Food - Frozen Meals,Human Resources,106,76,60,89
10/31/2013,647.18,870,1475.04,credit card,0 Elgar Crossing,Weton,,Indonesia,,Kitchen,Product Management,107,48,98,79
1/24/2002,488.31,34,3115.85,debit card,60 Comanche Center,Shangkuli,,China,,Accessories,Legal,108,945,10,10
1/31/2017,828.65,902,3752.61,debit card,69 Waubesa Road,Strömsund,Z,Sweden,833 34,Food - Vegetables,Legal,109,636,87,68
11/4/2002,618.2,517,2957.32,cash,5 Morrow Circle,Yakimovo,,Bulgaria,3640,Food - Condiments,Training,110,223,77,62
12/29/2005,602.35,339,1856.06,cash,271 Di Loreto Parkway,Gamovo,,Russia,614513,Kitchen,Support,111,66,62,22
6/20/2022,994.26,453,8946.32,debit card,5 Spenser Court,Sumberejo,,Indonesia,,Kitchen,Human Resources,112,139,79,14
8/31/2020,732.33,927,4721.88,credit card,2112 Spaight Terrace,Šipovo,,Bosnia and Herzegovina,,Food - Seafood,Support,113,711,30,28
6/2/2015,241.43,83,4029.17,debit card,750 Logan Avenue,Pryluky,,Ukraine,,Food - Cooking Essentials,Legal,114,561,75,65
11/9/2023,249.37,29,9404.75,cash,59819 Waywood Center,Shangtang,,China,,Home,Engineering,115,443,52,97
1/10/2021,325.81,743,795.56,cash,756 Express Plaza,Świnna,,Poland,34-331,Food - Snacks,Legal,116,409,52,37
2/12/2000,377.9,742,3031.93,credit card,911 Stuart Place,Längelmäki,,Finland,35400,Kitchen,Accounting,117,285,89,36
12/3/2018,399.99,539,3419.98,debit card,16 Jenifer Way,Old Kilcullen,,Ireland,R56,Kitchen,Training,118,266,97,66
3/26/2016,249.24,127,5195.38,PayPal,98 Elka Court,Miyazu,,Japan,626-0077,Audio,Legal,119,690,17,72
8/17/2018,399.93,279,1965.83,PayPal,9507 Everett Junction,Jastrebarsko,,Croatia,10450,Food - Beverages,Product Management,120,816,76,41
11/27/2022,581.93,939,74.17,credit card,41562 Waubesa Place,Horokhiv,,Ukraine,,Food - Dairy,Training,121,276,49,47
5/1/2015,723.03,81,9862.23,debit card,9826 Pine View Alley,Rochefort,B7,France,17314 CEDEX,Food - Salads,Engineering,122,979,98,53
3/2/2010,669.32,670,5478.51,PayPal,0 Reindahl Parkway,Paynjuwayn,,Iraq,,Office,Business Development,123,526,79,22
6/22/2009,30.79,857,3293.25,debit card,79 Veith Trail,Melissochóri,,Greece,,Food - Breakfast,Support,124,108,52,17
9/13/2016,225.67,417,1689.64,PayPal,73 Mosinee Crossing,Sukakarya,,Indonesia,,Food - Breakfast,Sales,125,295,40,87
2/13/2009,572.89,245,9143.03,cash,15 Buell Crossing,Nova Venécia,,Brazil,29830-000,Food - Beverages,Product Management,126,206,36,69
3/6/2020,217.93,756,4081.92,cash,906 Tennessee Terrace,Rungis,A8,France,94631 CEDEX 1,Clothing - Bottoms,Marketing,127,49,80,94
5/18/2025,632.94,457,6965.29,credit card,9 Everett Lane,Fuwah,,Egypt,,Clothing - Accessories,Accounting,128,667,21,21
4/28/2010,548.39,506,4338.62,cash,2 Elmside Point,Razan,,Iran,,Home,Human Resources,129,975,92,63
7/4/2023,916.2,757,7454.68,cash,33894 Mitchell Avenue,Zhudian,,China,,Smart Home,Product Management,130,703,25,99
11/21/2001,3.69,519,3910.44,cash,86057 Delaware Center,Jocotenango,,Guatemala,03002,Kitchen,Training,131,816,82,30
9/19/2021,513.39,78,3252.81,credit card,248 Armistice Center,Cernache do Bonjardim,05,Portugal,6100-253,Food - Beverages,Services,132,476,73,39
2/16/2006,185.7,490,9458.15,PayPal,73 Monterey Terrace,Fangtai,,China,,Food - Canned Goods,Research and Development,133,914,85,26
10/17/2000,544.25,905,604.73,debit card,18031 Esker Junction,Goričan,,Croatia,40324,Food - Snacks,Accounting,134,492,58,7
7/1/2016,993.9,755,554.96,credit card,1 Erie Circle,Karkkila,,Finland,03620,Clothing - Tops,Marketing,135,157,56,66
3/23/2004,560.29,773,7538.0,PayPal,6 Messerschmidt Pass,Lyuban’,,Belarus,,Food - Snacks,Business Development,136,622,33,28
5/9/2023,844.26,639,3547.67,PayPal,12 Dakota Avenue,Bangonay,,Philippines,4114,Kitchen,Services,137,532,64,54
12/24/2002,780.98,764,9167.16,debit card,19 Westend Pass,Krasnorechenskiy,,Russia,692438,Food - Condiments,Human Resources,138,913,95,92
6/1/2017,776.15,790,6787.16,cash,87 Springview Lane,Garahan,,Indonesia,,Audio,Human Resources,139,286,97,67
11/12/2016,627.72,246,3277.97,cash,83 Victoria Park,Limache,,Chile,,Home,Services,140,899,47,82
7/14/2016,691.01,908,3513.12,PayPal,6253 Clarendon Junction,Longtian,,China,,Electronics,Human Resources,141,598,31,21
9/27/2024,917.3,224,6368.57,PayPal,3727 Scoville Junction,Kökar,,Aland Islands,22730,Food - Meat,Marketing,142,179,62,19
8/7/2014,356.45,200,3975.45,PayPal,107 Stone Corner Park,Le Mans,B5,France,72052 CEDEX 2,Automotive,Sales,143,385,40,12
6/17/2007,526.35,588,4351.14,PayPal,9793 Hoepker Circle,Amucao,,Philippines,8004,Crafts,Support,144,433,24,100
10/16/2004,353.8,360,3734.87,debit card,4565 Jackson Circle,Huwei,,China,,Health,Human Resources,145,280,54,13
6/3/2016,703.86,872,9957.25,PayPal,9930 Raven Terrace,Liuzikou,,China,,Food - Snacks,Support,146,35,82,26
5/30/2025,356.05,674,5287.3,cash,4 Clove Trail,Unaizah,,Saudi Arabia,,Home,Support,147,307,62,69
9/21/2022,40.8,514,5354.5,credit card,7871 Hanson Junction,Yushanpu,,China,,Food - Meat,Sales,148,707,43,54
1/28/2013,61.42,850,5980.96,PayPal,62 Golden Leaf Way,Nanyuki,,Kenya,,Smart Home,Training,149,740,4,30
10/19/2008,771.25,341,8635.03,PayPal,3 Scott Pass,Nyköping,D,Sweden,611 24,Food - Frozen Foods,Human Resources,150,634,55,79
1/23/2025,962.7,731,9350.64,credit card,72 Charing Cross Avenue,Tabālah,,Saudi Arabia,,Food - Condiments,Engineering,151,478,53,100
3/18/2001,632.08,815,3626.23,debit card,204 Butternut Plaza,Haenam,,South Korea,,Outdoor,Legal,152,462,72,70
5/22/2007,929.1,967,143.73,cash,0470 Becker Road,Muarapinang,,Indonesia,,Pets,Marketing,153,284,21,51
1/14/2006,772.23,619,8387.87,credit card,391 Hoepker Road,Spasskoye-Lutovinovo,,Russia,303002,Food - Meat,Support,154,113,83,26
5/27/2011,87.68,606,4419.39,debit card,0953 Fieldstone Pass,Jargalant,,Mongolia,,Food - Oils & Vinegars,Legal,155,62,38,22
10/20/2013,941.72,112,1490.46,credit card,9983 Chinook Center,Kuangshan,,China,,Food - Frozen Foods,Product Management,156,684,5,60
11/30/2012,327.94,629,1877.16,credit card,3100 Del Mar Lane,Meijiang,,China,,Outdoor,Services,157,459,96,84
3/29/2000,557.65,795,538.5,PayPal,3748 Drewry Way,Cartagena del Chairá,,Colombia,183027,Food - Prepared Meals,Product Management,158,332,68,76
3/6/2007,176.14,331,7939.76,credit card,6418 Fair Oaks Court,Ban Mai,,Thailand,50260,Food - Sauces,Human Resources,159,163,20,97
8/26/2016,185.95,1000,3044.8,PayPal,98475 Northridge Alley,Fort Erie,ON,Canada,L2A,Food - Oils,Marketing,160,70,84,60
5/26/2007,764.25,550,3631.39,PayPal,94125 Barby Point,Morón,,Cuba,,Food - Condiments,Accounting,161,564,99,77
1/22/2022,926.25,258,1168.32,cash,22661 Bay Hill,Arapiraca,,Brazil,57300-000,Food - Condiments,Accounting,162,683,32,35
10/23/2020,899.39,305,2354.93,credit card,241 Fuller Way,Budapest,BU,Hungary,1194,Food - Dairy,Services,163,542,98,62
10/27/2014,467.76,595,229.0,debit card,4982 Starling Circle,Yongfa,,China,,Fitness,Training,164,807,51,22
4/19/2020,269.12,630,711.4,PayPal,417 Westend Point,Ramat Yishay,,Israel,,Art Supplies,Sales,165,526,25,96
5/27/2001,670.5,6,6999.39,debit card,5552 Clyde Gallagher Trail,Tangub,,Philippines,2442,Food - Breakfast,Research and Development,166,327,49,70
12/21/2002,865.72,739,3504.23,credit card,64 Mayer Way,Hołoby,,Ukraine,,Food - Baking,Accounting,167,372,5,87
11/24/2024,430.13,322,4208.89,PayPal,7675 Pond Terrace,Tadjoura,,Djibouti,,Automotive,Training,168,222,20,64
2/6/2019,725.62,770,792.2,PayPal,6352 Anhalt Terrace,Karanglo,,Indonesia,,Food - Frozen Meals,Training,169,834,98,60
12/8/2007,974.93,398,8207.01,credit card,44 Myrtle Hill,Gayamdesa,,Indonesia,,Food - Pasta,Human Resources,170,872,84,91
11/22/2000,470.8,648,4625.84,credit card,28 Fair Oaks Center,Yelabuga,,Russia,423638,Clothing - Outerwear,Research and Development,171,91,41,46
10/2/2024,279.56,884,2782.79,credit card,6 Ilene Avenue,Tudela,,Philippines,7202,Home,Support,172,963,16,69
9/19/2003,465.07,203,6095.65,cash,33824 Muir Terrace,Pará de Minas,,Brazil,35660-000,Pets,Accounting,173,467,46,24
1/17/2005,973.24,571,2421.92,credit card,582 Nevada Terrace,Truskavets,,Ukraine,,Outdoor,Legal,174,486,4,4
12/24/2022,608.94,124,6878.04,credit card,21282 Fisk Court,Semey,,Kazakhstan,,Food - Bakery,Human Resources,175,112,46,31
2/23/2025,240.32,394,2177.19,PayPal,34 West Court,Chowṉêy,,Afghanistan,,Beauty,Training,176,884,60,71
11/16/2019,689.41,620,1211.26,cash,7850 Sullivan Hill,Litibakul,,Indonesia,,Clothing - Jumpsuits,Engineering,177,815,35,39
5/14/2008,132.13,337,2847.69,PayPal,885 Brickson Park Hill,Hexiangqiao,,China,,Food - Bakery,Sales,178,277,86,77
1/25/2023,498.19,157,2625.84,debit card,781 6th Trail,Oslo,03,Norway,0760,Footwear,Services,179,576,75,16
3/20/2024,551.98,338,3427.75,cash,8 Forest Dale Way,Rio das Ostras,,Brazil,28890-000,Home Security,Human Resources,180,861,24,10
9/8/2020,710.15,889,4735.59,PayPal,814 Delladonna Place,Mniszków,,Poland,26-341,Food - Prepared Foods,Business Development,181,1,65,22
12/10/2012,511.26,338,9783.71,credit card,84 Ryan Street,Caofang,,China,,Food - Baking & Cooking,Product Management,182,870,90,63
2/5/2009,371.6,317,5712.98,credit card,31 Cordelia Court,Fuxi,,China,,Food - Canned Soups,Training,183,526,87,40
2/13/2004,718.47,57,9761.02,cash,9 Holmberg Road,Dogonbadan,,Iran,,Travel,Engineering,184,470,77,70
9/30/2018,388.25,73,3521.96,cash,7 Mccormick Avenue,Yuankeng,,China,,Food - Snacks,Human Resources,185,282,52,12
1/3/2003,491.14,512,8203.2,cash,5122 Ridgeview Center,Reda,,Poland,84-240,Food - Canned Goods,Research and Development,186,823,45,34
4/29/2010,602.27,352,9035.74,credit card,0677 Bluejay Way,Lethbridge,AB,Canada,T1K,Outdoor,Training,187,911,72,53
11/27/2008,399.97,638,1898.48,PayPal,5 Basil Street,Yima,,China,,Food - Condiments,Sales,188,57,1,9
12/25/2005,383.14,135,3734.35,PayPal,5280 Bellgrove Road,Ocala,FL,United States,34479,Bicycles,Human Resources,189,109,62,98
5/11/2018,783.3,107,5077.93,debit card,3 Hanover Park,Cernache do Bonjardim,05,Portugal,6100-253,Travel,Marketing,190,48,45,18
11/21/2015,687.79,565,6370.1,PayPal,0223 Pond Junction,Ust’-Kachka,,Russia,614524,Food - Meat,Product Management,191,431,23,49
6/11/2013,374.75,240,9375.68,credit card,02791 Morning Terrace,Phoenix,AZ,United States,85062,Food - Cereals,Business Development,192,848,31,2
5/4/2011,859.11,385,6692.49,debit card,03443 Anzinger Place,Kaeng Khro,,Thailand,36150,Travel,Business Development,193,555,82,87
4/21/2004,549.16,714,617.78,PayPal,0 Lighthouse Bay Park,Karpinsk,,Russia,624936,Kitchen,Engineering,194,91,11,66
7/7/2020,537.16,685,5461.99,debit card,99 Rowland Circle,Teresa,,Philippines,1880,Outdoor,Business Development,195,401,58,18
9/17/2017,406.65,910,1870.18,PayPal,505 Schiller Drive,Sukhobezvodnoye,,Russia,606640,Electronics,Accounting,196,837,16,7
5/8/2019,299.47,902,9286.59,credit card,74271 Utah Hill,Ituiutaba,,Brazil,38300-000,Food - Dairy,Marketing,197,909,80,83
10/18/2010,10.13,900,9915.31,credit card,778 Lindbergh Pass,Putatbasiun,,Indonesia,,Food - Baking Goods,Legal,198,158,60,74
6/7/2018,881.63,947,9192.45,debit card,0666 Carpenter Parkway,Ilama,,Honduras,,Food - Prepared Foods,Marketing,199,354,34,93
9/8/2021,980.22,192,460.38,PayPal,9080 Briar Crest Court,Zungeru,,Nigeria,,Food - Breakfast,Legal,200,508,7,19
9/20/2011,734.21,796,1466.85,PayPal,20 Rockefeller Place,Douentza,,Mali,,Food - Breakfast,Engineering,201,960,17,64
9/15/2001,106.76,285,6821.35,credit card,9805 Novick Court,Cadagmayan Norte,,Philippines,5001,Food - Cooking Kits,Marketing,202,951,98,83
6/26/2004,683.41,273,4834.46,cash,8 Eastwood Way,Funaishikawa,,Japan,319-1111,Food - Dairy,Engineering,203,346,46,41
7/17/2000,954.39,662,6981.76,credit card,007 Hanson Court,Bindura,,Zimbabwe,,Outdoor,Human Resources,204,945,16,52
7/29/2019,992.75,154,7206.12,debit card,194 Mallard Point,Rustam jo Goth,,Pakistan,78051,Clothing - Coats,Engineering,205,91,79,12
5/11/2005,547.54,40,1016.73,debit card,52923 Dunning Terrace,Ust’-Koksa,,Russia,649490,Food - Condiments,Services,206,730,56,2
