employee_id,employee_name,employee_code,dob,sex,identity_no,mobile_phone,work_email,work_date_start,employee_status_id,organization_id,contract_type_id,active,province_id,date_modified,date_company,work_permit_date,group_employee_id,passport_no,bank_account_no,personal_email,p_province_id,p_district_id,p_communes_id,birth_place,origin_place
38,Marcelle Makin,EMP003,2/15/1977,Female,494-04-7906,282-515-2726,mmakin11@sciencedirect.com,1/5/2017,3,85,Full-time,false,37,12/13/2022,11/1/2021,3/30/2022,7,PASS002,7300918248,mmakin11@constantcontact.com,17,18,6,Jiangyi,China
39,Augusto Glasson,EMP003,3/1/1980,Male,114-93-8992,525-414-4666,aglasson12@uol.com.br,6/24/2018,3,55,Part-time,false,5,3/16/2021,7/15/2013,7/14/2021,3,PASS001,1204731260,aglasson12@zimbio.com,26,20,8,Santa Cruz das Palmeiras,Brazil
40,Giacomo Veasey,EMP002,3/26/1985,Male,719-25-5925,355-961-4444,gveasey13@webmd.com,1/19/2012,2,52,Part-time,true,30,7/9/2021,9/30/2019,3/17/2021,4,PASS001,5921540238,gveasey13@nsw.gov.au,3,16,6,København,Denmark
41,Kristofer Murcutt,EMP001,1/7/1967,Polygender,122-41-5298,823-234-7647,kmurcutt14@yellowbook.com,11/9/2011,2,6,Contractor,true,50,9/10/2022,9/13/2019,10/19/2020,4,PASS003,8112282141,kmurcutt14@goo.ne.jp,50,14,6,San Sebastian,Mexico
42,Urson O'Dreain,EMP001,12/24/1998,Male,242-41-4912,286-712-6523,uodreain15@theglobeandmail.com,2/8/2016,3,47,Contractor,true,30,8/1/2020,10/17/2015,8/26/2021,2,PASS001,1866134044,uodreain15@economist.com,13,14,4,Chimboy Shahri,Uzbekistan
43,Allys Knevit,EMP002,8/28/1980,Female,579-18-7070,727-749-7359,aknevit16@flavors.me,2/14/2016,1,65,Full-time,true,22,8/10/2020,2/19/2020,5/27/2021,7,PASS002,3807287355,aknevit16@dropbox.com,8,17,5,Brodek u Přerova,Czech Republic
44,Noelani Johanning,EMP001,3/16/1966,Female,107-89-8364,379-754-9722,njohanning17@mediafire.com,2/24/2012,3,1,Contractor,true,4,6/22/2022,4/4/2018,10/31/2022,3,PASS003,9793556034,njohanning17@goodreads.com,42,20,6,Huacapampa,Peru
45,Cristen Baszkiewicz,EMP001,12/29/1968,Female,853-21-7864,361-603-9296,cbaszkiewicz18@chron.com,9/29/2015,1,92,Part-time,true,49,3/26/2021,4/23/2017,11/29/2021,8,PASS002,3928407241,cbaszkiewicz18@tinyurl.com,49,12,9,Terentang,Indonesia
46,Gates Webley,EMP001,12/12/2000,Genderqueer,543-68-7657,569-736-9534,gwebley19@nationalgeographic.com,10/9/2011,1,69,Part-time,false,47,5/1/2022,4/17/2015,2/22/2022,3,PASS001,9694673909,gwebley19@prnewswire.com,50,8,5,Moch,Micronesia
47,Fleurette Jellicorse,EMP001,8/30/1974,Female,308-53-5058,107-122-3922,fjellicorse1a@networksolutions.com,10/28/2015,1,47,Full-time,false,8,11/7/2021,8/7/2014,4/8/2021,6,PASS003,2914070154,fjellicorse1a@ucoz.ru,12,10,5,Bulangan,Indonesia
48,Aloysia Dat,EMP001,10/29/1990,Female,533-20-5493,970-594-3226,adat1b@vinaora.com,8/1/2020,2,31,Part-time,false,37,2/7/2022,12/12/2010,2/27/2022,4,PASS001,2632600433,adat1b@thetimes.co.uk,27,15,10,Lopatyn,Ukraine
49,Dunc Hardin,EMP001,7/20/1984,Male,391-85-6042,505-587-0661,dhardin1c@ustream.tv,5/19/2010,3,85,Part-time,true,37,10/7/2022,3/9/2016,3/22/2020,9,PASS001,3446822995,dhardin1c@senate.gov,16,2,6,Arcos,Brazil
50,Jacques Paddick,EMP002,10/23/2000,Male,550-82-2338,687-885-1060,jpaddick1d@list-manage.com,4/3/2022,2,58,Contractor,true,20,12/8/2022,10/25/2022,10/19/2022,9,PASS001,9913036585,jpaddick1d@fema.gov,26,2,1,Stronie,Poland
51,Mag Ayllett,EMP003,10/10/1991,Female,708-27-2577,884-767-5890,mayllett1e@hugedomains.com,12/28/2013,3,97,Full-time,false,15,6/15/2021,12/3/2016,8/2/2022,2,PASS002,7611408329,mayllett1e@google.ca,50,12,1,Malawa,Philippines
52,Ruttger Kosel,EMP003,11/24/1985,Male,595-21-6196,206-104-2073,rkosel1f@auda.org.au,12/17/2016,2,87,Full-time,false,41,12/7/2020,7/17/2016,12/9/2021,5,PASS001,9599753748,rkosel1f@nba.com,23,8,8,Sel’tso,Russia
53,Esra Nolda,EMP003,3/26/1995,Male,147-88-9120,843-898-5381,enolda1g@meetup.com,4/12/2010,2,73,Part-time,false,28,10/11/2020,5/4/2013,12/9/2020,4,PASS001,5500853140,enolda1g@nationalgeographic.com,40,16,5,Florence,United States
54,Madonna Attenbrough,EMP001,5/24/1965,Female,776-69-1670,944-608-7379,mattenbrough1h@paginegialle.it,3/14/2014,5,88,Part-time,false,43,5/20/2020,8/22/2021,2/28/2021,4,PASS003,4500415482,mattenbrough1h@cisco.com,8,14,10,Quán Hàu,Vietnam
55,Abbe Darwood,EMP002,9/26/1969,Male,389-97-4985,183-510-6489,adarwood1i@sina.com.cn,9/14/2017,4,25,Full-time,false,37,11/11/2021,3/10/2021,11/28/2021,8,PASS003,6433577581,adarwood1i@uol.com.br,46,7,3,Jijiang,China
56,Lambert Plaistowe,EMP003,4/6/1984,Male,306-69-0728,981-692-5822,lplaistowe1j@hhs.gov,1/31/2018,4,88,Full-time,false,31,12/6/2021,4/17/2018,12/9/2020,5,PASS003,9499235684,lplaistowe1j@icio.us,13,19,6,Náfplio,Greece
57,Denyse Baybutt,EMP003,11/19/1990,Female,139-60-5423,874-899-8064,dbaybutt1k@gravatar.com,1/19/2020,3,71,Part-time,true,23,1/31/2022,5/3/2013,12/7/2020,1,PASS002,8265850670,dbaybutt1k@discovery.com,36,1,9,Campok,Indonesia
58,Kylila Bunhill,EMP001,1/23/1961,Female,346-03-8206,881-119-7418,kbunhill1l@stumbleupon.com,4/2/2012,3,8,Full-time,true,30,12/29/2020,5/19/2020,11/28/2021,1,PASS001,8456004822,kbunhill1l@hc360.com,40,13,4,A’ershan,China
59,Menard Lamshead,EMP002,4/1/1964,Male,545-76-0834,508-565-6403,mlamshead1m@stumbleupon.com,6/2/2022,2,57,Part-time,false,23,9/3/2021,5/28/2010,10/4/2021,4,PASS003,3604985744,mlamshead1m@arstechnica.com,18,19,9,Reforma,Mexico
60,Ryann Petracco,EMP001,7/7/1970,Female,249-82-6986,270-896-0453,rpetracco1n@yandex.ru,6/27/2011,1,96,Contractor,true,26,9/30/2020,3/11/2014,2/2/2020,4,PASS001,3638653067,rpetracco1n@theatlantic.com,45,2,3,Ballylinan,Ireland
61,Valdemar Dominelli,EMP001,12/2/1977,Male,560-60-6312,118-936-0890,vdominelli1o@bandcamp.com,11/13/2016,1,15,Part-time,true,45,1/30/2020,6/12/2015,3/13/2021,3,PASS002,1604706806,vdominelli1o@omniture.com,25,3,2,Kamennogorsk,Russia
62,Lazare Greenwell,EMP001,6/23/1982,Male,760-88-4167,932-330-1769,lgreenwell1p@mapy.cz,1/25/2014,1,24,Full-time,false,43,11/9/2021,10/1/2018,3/20/2022,9,PASS003,7795487697,lgreenwell1p@berkeley.edu,42,2,9,Salor,Uzbekistan
63,Carie Girardi,EMP003,10/21/1978,Female,337-61-3665,266-361-4547,cgirardi1q@a8.net,10/16/2019,1,21,Contractor,false,26,5/13/2022,2/15/2011,1/10/2020,8,PASS003,3859729473,cgirardi1q@nymag.com,11,20,4,Göteborg,Sweden
64,Ryon Simononsky,EMP001,12/31/1975,Male,843-76-0100,823-513-4628,rsimononsky1r@webs.com,8/16/2012,4,70,Contractor,true,33,1/10/2021,11/23/2015,9/23/2022,4,PASS003,6777481095,rsimononsky1r@g.co,46,2,8,Zdenci,Croatia
65,Broderick Schelle,EMP001,11/7/1975,Male,344-37-9305,964-694-6369,bschelle1s@hugedomains.com,4/7/2021,2,37,Contractor,false,36,11/24/2022,5/8/2011,2/15/2022,10,PASS003,8948760464,bschelle1s@clickbank.net,14,10,9,Lospalos,East Timor
66,Charlene Skipping,EMP001,12/16/1974,Female,224-06-4738,692-191-4751,cskipping1t@360.cn,12/11/2014,1,72,Part-time,false,17,1/19/2020,4/13/2018,7/22/2022,3,PASS003,2238465278,cskipping1t@cbc.ca,29,1,7,Satuek,Thailand
67,Dorothee Peckitt,EMP002,10/8/1968,Agender,305-45-2397,688-862-1842,dpeckitt1u@sbwire.com,12/17/2019,2,32,Full-time,false,38,10/29/2021,5/19/2018,6/9/2021,6,PASS002,7814982975,dpeckitt1u@simplemachines.org,39,18,8,Maao,Philippines
68,Garey Scutter,EMP001,10/31/1995,Male,690-68-1108,871-555-6312,gscutter1v@princeton.edu,5/31/2022,1,41,Full-time,true,36,1/5/2021,7/18/2014,3/23/2022,7,PASS002,3644167992,gscutter1v@usgs.gov,14,2,7,Dolní Rychnov,Czech Republic
69,Earvin Fullager,EMP001,1/6/1961,Male,359-55-7101,424-670-2847,efullager1w@blogs.com,12/4/2018,3,33,Part-time,false,31,3/27/2021,4/22/2015,11/14/2022,4,PASS001,8259252043,efullager1w@cbslocal.com,38,9,10,Nekrasovka,Russia
70,Marietta Loader,EMP002,9/27/1965,Male,257-76-5973,879-513-4133,mloader1x@zimbio.com,3/10/2014,5,61,Part-time,false,40,7/15/2021,4/27/2012,3/21/2021,9,PASS001,2893473317,mloader1x@opera.com,50,3,1,Bessonovka,Russia
71,Ivie Halegarth,EMP002,11/22/1970,Genderfluid,250-68-2006,309-545-1478,ihalegarth1y@blogtalkradio.com,6/13/2016,2,77,Part-time,true,10,10/14/2020,9/28/2013,12/11/2021,7,PASS002,6280158177,ihalegarth1y@nytimes.com,23,16,2,Tyachiv,Ukraine
72,Chad Crummie,EMP002,5/24/1963,Male,897-99-5353,262-823-2300,ccrummie1z@aboutads.info,5/27/2018,3,39,Part-time,false,16,3/7/2020,10/7/2018,7/11/2020,6,PASS001,2827407772,ccrummie1z@youtube.com,37,11,8,Milwaukee,United States
73,Andriette Gayter,EMP002,8/7/1997,Female,130-30-6736,193-476-6758,agayter20@constantcontact.com,4/29/2012,4,26,Full-time,false,47,2/1/2021,10/14/2013,7/30/2022,4,PASS003,1447888106,agayter20@home.pl,4,6,6,Sukasari,Indonesia
74,Pernell Rippingall,EMP001,2/17/1974,Male,232-60-5793,301-452-9809,prippingall21@wordpress.com,12/24/2011,4,63,Part-time,false,36,8/25/2022,4/17/2011,8/7/2020,2,PASS003,3808070802,prippingall21@google.pl,11,11,7,Biguaçu,Brazil
75,Charlton Staresmeare,EMP001,7/11/1972,Male,603-44-7080,197-596-1324,cstaresmeare22@wordpress.org,10/29/2022,1,19,Part-time,false,41,4/11/2021,2/25/2012,4/8/2020,4,PASS002,9045043724,cstaresmeare22@baidu.com,38,16,2,Erfurt,Germany
76,Tierney Niese,EMP002,1/12/1985,Female,533-29-7992,346-354-9399,tniese23@va.gov,12/8/2019,5,84,Full-time,false,40,8/2/2022,3/3/2015,12/1/2020,4,PASS001,8654632596,tniese23@theglobeandmail.com,5,7,1,Ollantaytambo,Peru
77,Kellina Steinhammer,EMP002,3/12/1985,Female,159-96-4321,601-523-4926,ksteinhammer24@army.mil,3/14/2018,5,7,Part-time,true,49,7/14/2021,7/28/2015,1/10/2022,9,PASS002,4273701137,ksteinhammer24@shareasale.com,38,18,2,Sam Khok,Thailand
78,Sacha Ivanusyev,EMP001,1/10/1976,Female,350-79-8058,183-367-0311,sivanusyev25@wikipedia.org,2/4/2018,1,3,Full-time,true,41,3/13/2021,4/14/2021,8/31/2021,5,PASS002,9113728963,sivanusyev25@bandcamp.com,22,10,6,Novyye Kuz’minki,Russia
79,Lucky Peacey,EMP001,8/4/1963,Female,350-74-9808,711-293-1566,lpeacey26@digg.com,7/9/2015,4,69,Part-time,true,27,12/25/2022,11/18/2019,4/14/2020,8,PASS001,2587757494,lpeacey26@engadget.com,42,6,9,Jiuguan,China
80,Bryon Bigrigg,EMP002,12/11/1960,Male,449-09-6872,857-485-8210,bbigrigg27@ucsd.edu,2/24/2016,1,78,Part-time,false,32,3/13/2020,1/20/2011,7/28/2021,8,PASS002,6520990669,bbigrigg27@ca.gov,25,12,4,Boston,United States
81,Michelle Tebb,EMP003,8/11/1967,Female,823-53-5384,775-791-4869,mtebb28@cisco.com,4/4/2016,1,61,Part-time,false,24,10/12/2020,4/2/2017,5/17/2022,4,PASS001,9448936239,mtebb28@auda.org.au,7,10,4,Satuba,Brazil
82,Starla Westraw,EMP002,2/12/1990,Female,239-23-6439,981-538-2062,swestraw29@hibu.com,6/28/2012,3,80,Part-time,true,22,11/28/2021,7/11/2015,1/16/2022,3,PASS003,9107232296,swestraw29@java.com,3,8,5,Černošice,Czech Republic
83,Renard Haile,EMP001,5/13/1990,Male,818-07-0916,640-253-3239,rhaile2a@arstechnica.com,9/8/2020,5,81,Part-time,false,26,9/11/2021,1/8/2021,11/18/2020,1,PASS001,5281091195,rhaile2a@cbsnews.com,34,18,2,Janakkala,Finland
84,Liza Carlino,EMP003,12/6/1969,Female,213-12-1915,808-205-2764,lcarlino2b@amazon.com,5/19/2017,1,85,Contractor,true,50,7/18/2021,6/24/2020,11/11/2020,4,PASS001,6443017832,lcarlino2b@epa.gov,46,5,5,Paine,Chile
85,Jorrie Prestwich,EMP003,4/9/1977,Female,328-55-7016,585-546-6907,jprestwich2c@cnet.com,1/13/2018,4,42,Full-time,false,43,12/23/2021,11/11/2019,9/23/2020,3,PASS003,1151289794,jprestwich2c@ning.com,17,12,3,Safotulafai,Samoa
86,Mackenzie Glazyer,EMP003,3/10/1979,Bigender,332-33-8561,461-125-5853,mglazyer2d@unicef.org,10/13/2016,3,71,Full-time,true,10,11/21/2022,2/2/2017,11/20/2020,9,PASS003,1531220768,mglazyer2d@oracle.com,2,1,8,Palmeira das Missões,Brazil
87,Field Armit,EMP003,6/29/2000,Male,120-02-4535,392-117-9049,farmit2e@cargocollective.com,3/14/2014,1,24,Contractor,false,3,9/12/2022,9/29/2017,6/30/2020,2,PASS001,5416152659,farmit2e@harvard.edu,39,7,3,Krmelín,Czech Republic
88,Jefferson Broadist,EMP003,12/14/1973,Male,861-88-9185,933-181-8349,jbroadist2f@bloglines.com,9/8/2011,1,51,Part-time,false,17,4/13/2022,11/23/2020,7/19/2020,1,PASS001,4450492397,jbroadist2f@aboutads.info,20,18,3,Kurgan,Russia
89,Ingeborg Ort,EMP001,2/28/1962,Polygender,134-75-6099,901-187-1984,iort2g@photobucket.com,7/23/2021,3,43,Part-time,false,34,2/22/2022,5/31/2018,10/11/2021,8,PASS003,9274856769,iort2g@slashdot.org,49,1,3,Tsuma,Japan
90,Goldarina Luker,EMP002,6/3/1997,Female,214-54-5364,632-487-1163,gluker2h@altervista.org,6/17/2020,5,74,Part-time,false,23,9/22/2022,1/21/2020,3/23/2022,9,PASS001,8491583661,gluker2h@miitbeian.gov.cn,34,2,4,Sapouy,Burkina Faso
91,Kirk O'Scandall,EMP001,11/8/1997,Male,617-49-2825,438-911-8422,koscandall2i@privacy.gov.au,7/5/2012,2,38,Part-time,false,22,5/2/2021,6/28/2021,5/16/2021,7,PASS001,6942694101,koscandall2i@histats.com,17,5,9,Vostryakovo,Russia
92,Zitella Axworthy,EMP003,1/18/1963,Non-binary,345-49-9767,446-819-8519,zaxworthy2j@netvibes.com,2/22/2016,5,53,Part-time,true,41,8/12/2021,4/28/2021,1/17/2020,3,PASS003,6110923380,zaxworthy2j@sciencedirect.com,43,5,7,San Miguel,Philippines
93,Fabien Mabb,EMP001,12/25/1981,Bigender,833-99-9037,558-714-8873,fmabb2k@amazon.co.jp,8/19/2011,3,36,Contractor,true,39,7/13/2022,1/31/2010,6/3/2022,8,PASS001,5356662886,fmabb2k@craigslist.org,10,18,3,Muaraenim,Indonesia
94,Eugenio Hammon,EMP001,11/15/1980,Male,842-89-2260,955-500-6892,ehammon2l@wix.com,3/17/2020,5,55,Full-time,false,7,2/16/2022,6/6/2020,8/25/2020,10,PASS003,5827003260,ehammon2l@google.com.au,42,13,1,Qifang,China
95,Jesus Waight,EMP001,9/14/1966,Male,603-53-0760,116-703-7799,jwaight2m@redcross.org,10/14/2021,5,31,Contractor,true,30,5/26/2021,12/6/2017,4/21/2020,7,PASS003,6143360969,jwaight2m@nationalgeographic.com,16,12,3,Malim,Philippines
96,Valentino Hubbard,EMP003,2/8/1964,Male,265-69-3242,168-930-5734,vhubbard2n@ebay.co.uk,8/21/2014,5,66,Full-time,false,38,12/15/2022,6/26/2010,9/9/2022,5,PASS003,9177940636,vhubbard2n@ezinearticles.com,26,10,4,San-Pédro,Ivory Coast
97,Everett Daunay,EMP001,11/20/1996,Male,338-81-9808,198-398-4913,edaunay2o@seesaa.net,11/20/2014,3,94,Contractor,true,18,11/1/2020,5/20/2013,12/26/2021,5,PASS002,1955104562,edaunay2o@fotki.com,39,11,4,Pashkovskiy,Russia
98,Monte Drife,EMP001,5/25/1985,Male,749-97-0554,883-859-8678,mdrife2p@issuu.com,6/7/2017,3,3,Full-time,false,41,5/22/2021,7/10/2014,2/18/2020,4,PASS002,7300035322,mdrife2p@prweb.com,32,12,7,Hisings Kärra,Sweden
